"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"78","Half-Life Deathmatch: Source","May 1, 2006","$9.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Valve","Valve"
"27","Call of Cthulhu: Dark Corners of the Earth","Apr 26, 2006","$4.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Headfirst Productions","Bethesda Softworks"
"31","Dreamfall: The Longest Journey","Apr 17, 2006","$19.99","N/A (N/A/75%)","100,000 .. 200,000","00:00 (00:00)","Funcom","Funcom"
"39","EMERGENCY 4 Deluxe","Apr 13, 2006","$17.99","N/A (N/A/71%)","20,000 .. 50,000","00:00 (00:00)","Sixteen Tons Entertainment","Sixteen Tons Entertainment"
"25","Bone: The Great Cow Race","Apr 12, 2006","N/A","N/A (N/A/76%)","100,000 .. 200,000","00:00 (00:00)","Telltale Games","Telltale Games"
"21","Condemned: Criminal Origins","Apr 11, 2006","$14.95","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Monolith","SEGA"
"12","Tomb Raider: Legend","Apr 7, 2006","$0.97","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
"113","Mystery Case Files: Prime Suspects","Apr 5, 2006","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Games","Big Fish Games"
"35","Earth 2160","Apr 1, 2006","$4.99","N/A (N/A/73%)","200,000 .. 500,000","02:53 (00:57)","Reality Pump Studios","Topware Interactive, ACE"
"47","Keepsake","Mar 31, 2006","$0.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","Wicked Studios","Wicked Studios"
"40","Full Spectrum Warrior: Ten Hammers","Mar 27, 2006","$9.99","N/A (N/A/70%)","100,000 .. 200,000","00:00 (00:00)","Pandemic Studios","THQ Nordic"
"100","AGON - The Mysterious Codex (Trilogy)","Mar 16, 2006","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Private Moon Studios","Microids Indie"
"16","Red Orchestra: Ostfront 41-45","Mar 14, 2006","$2.49","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Tripwire Interactive","Tripwire Interactive"
"108","Toribash","Mar 1, 2006","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Nabi Studios","Nicalis, Inc."
"103","Poker Superstars II","Mar 1, 2006","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Funkitron","Funkitron"
"50","Tycoon City: New York","Feb 21, 2006","$9.99","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","","Retroism"
"67","STAR WARS Empire at War - Gold Pack","Feb 16, 2006","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","02:21 (00:47)","Petroglyph","LucasArts, Lucasfilm, Disney"
"13","Dangerous Waters","Feb 7, 2006","$14.99","N/A (N/A/82%)","50,000 .. 100,000","00:00 (00:00)","Sonalysts","Strategy First"
"19","Space Empires IV Deluxe","Feb 7, 2006","$9.99","N/A (N/A/79%)","50,000 .. 100,000","00:00 (00:00)","Malfador Machinations","Strategy First"
"10","Hearts of Iron 2 Complete","Jan 6, 2006","$14.99","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"5","Warhammer 40,000: Dawn of War - Game of the Year Edition","Jan 1, 2006","$12.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
"101","Warhammer 40,000: Dawn of War – Winter Assault","Jan 1, 2006","$12.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Relic Entertainment","SEGA"
